AGE,KIDS,NET WORTH,INCOME,MARRIAGE,TRUE RISK TOLERANCE,RISK TOLERANCE SCORE
47,0,352641.7113,56443.744181,1,6.947438694505888,Very Low Risk
47,0,340525.21881,56443.744181,1,6.22315796729084,Very Low Risk
47,0,348696.08426,56443.744181,1,6.676708619334256,Very Low Risk
47,0,351802.8772,56443.744181,1,6.286853691736365,Very Low Risk
47,0,358958.85696,56443.744181,1,6.177016387618512,Very Low Risk
61,1,6098634.5526,172526.16146,1,1.1334190032310274,Very Low Risk
61,1,6108990.5291,173591.13776,1,1.131978782774573,Very Low Risk
61,1,6114686.3161,173591.13776,1,1.131978782774573,Very Low Risk
61,1,6103812.5408,173591.13776,1,1.1350959322091896,Very Low Risk
61,1,6116239.7126,173591.13776,1,1.131930994264407,Very Low Risk
65,0,1024620.3135,55378.767875,1,0.6219002720400262,Very Low Risk
65,0,2091285.8916,55378.767875,1,0.6219002720400262,Very Low Risk
65,0,1449215.3494,54313.79157,1,0.6211282995954598,Very Low Risk
65,0,1894418.7786,55378.767875,1,0.6230114865654521,Very Low Risk
65,0,1677046.8321,54313.79157,1,0.6211282995954598,Very Low Risk
43,2,173271.02057,26624.407632,1,14.924390552193264,Low Risk
43,2,94581.133246,26624.407632,1,14.923955893688968,Low Risk
43,2,105351.34879,26624.407632,1,14.923955893688968,Low Risk
43,2,211163.53854,26624.407632,1,14.924390552193264,Low Risk
43,2,72916.430438,26624.407632,1,14.923955893688968,Low Risk
69,0,25066641.084,1042611.8029,1,0.6562522321935874,Very Low Risk
69,0,24531237.1,1052196.5896,1,0.6567550573145285,Very Low Risk
69,0,25657967.342,1088405.784,1,0.6588765721625952,Very Low Risk
69,0,24079716.525,1039416.874,1,0.6560233878589496,Very Low Risk
69,0,26288646.31,1046871.7081,1,0.6564961092048065,Very Low Risk
44,0,275572.53429,150161.65905,1,54.58471757112531,High Risk
44,0,277643.72959,150161.65905,1,54.764307527169294,High Risk
44,0,275572.53429,150161.65905,1,54.764307527169294,High Risk
44,0,275572.53429,150161.65905,1,54.764307527169294,High Risk
44,0,277643.72959,150161.65905,1,54.58471757112531,High Risk
39,2,197074.23253,130992.08555,1,32.54570513436867,Moderate Risk
39,2,203702.05748,130992.08555,1,32.17474351631037,Moderate Risk
46,2,436918.64794,227904.92933,1,16.812929262564346,Moderate Risk
46,2,465501.14304,227904.92933,1,16.812929262564346,Moderate Risk
46,2,444789.19007,227904.92933,1,16.812929262564346,Moderate Risk
46,2,433501.1757,227904.92933,1,16.812929262564346,Moderate Risk
46,2,440646.79948,227904.92933,1,16.812929262564346,Moderate Risk
67,0,20967745.591,303518.24701,1,0.8487979858264256,Very Low Risk
67,0,20966709.993,303518.24701,1,0.8487979858264256,Very Low Risk
67,0,20966709.993,303518.24701,1,0.8487979858264256,Very Low Risk
67,0,20967745.591,303518.24701,1,0.8487979858264256,Very Low Risk
67,0,20966709.993,303518.24701,1,0.8487979858264256,Very Low Risk
35,2,261695.5258,75613.317676,1,33.33911430380813,Moderate Risk
35,2,326109.69954,78808.246592,1,32.74417114259198,Moderate Risk
35,2,261695.5258,76678.293981,1,33.440861176369594,Moderate Risk
35,2,267909.11169,76678.293981,1,33.81234597746968,Moderate Risk
35,2,319274.75506,76678.293981,1,32.078912704717666,Moderate Risk
60,1,17605.160026,25559.431327,1,57.35598328526913,High Risk
60,1,17501.600261,25559.431327,1,57.35598328526913,High Risk
46,2,45669.856303,56443.744181,1,16.32566977889395,Moderate Risk
46,2,46187.655127,56443.744181,1,16.32566977889395,Moderate Risk
46,2,46498.334422,56443.744181,1,16.32566977889395,Moderate Risk
46,2,46498.334422,56443.744181,1,16.32566977889395,Moderate Risk
46,2,47430.372306,56443.744181,1,16.32566977889395,Moderate Risk
66,0,2378301.7799,74548.341371,1,0.9178317974022429,Very Low Risk
66,0,2377421.5219,74548.341371,1,0.9178317974022429,Very Low Risk
66,0,2378457.1195,74548.341371,1,0.9178317974022429,Very Low Risk
66,0,2378457.1195,74548.341371,1,0.9178317974022429,Very Low Risk
66,0,2378446.7636,74548.341371,1,0.9178317974022429,Very Low Risk
34,1,62498.318093,34079.241769,1,25.12698920573613,Moderate Risk
34,1,55042.015023,40469.099601,1,27.49394704243496,Moderate Risk
34,1,60178.57936,39404.123296,1,29.962410824407723,Moderate Risk
78,0,1442587.5245,64963.554623,1,0.563248345560396,Very Low Risk
78,0,1189901.6982,64963.554623,1,0.5685573630138789,Very Low Risk
78,0,1307959.8302,66028.530928,1,0.566215806424789,Very Low Risk
78,0,1288283.4749,66028.530928,1,0.5577600835399376,Very Low Risk
78,0,1465370.6728,66028.530928,1,0.5527315908973445,Very Low Risk
71,0,224764042.46,4781743.6108,1,0.5398647823689394,Very Low Risk
71,0,108408433.05,5473978.2092,1,0.4858045358249471,Very Low Risk
71,0,17847489.876,4877591.4782,1,0.5228209941928651,Very Low Risk
47,0,336103.21685,61768.625707,1,12.326738785534644,Low Risk
47,0,327849.50359,61768.625707,1,12.324649970258266,Low Risk
47,0,328843.67734,61768.625707,1,12.327623021947373,Low Risk
47,0,328098.04703,61768.625707,1,12.318088705231506,Low Risk
47,0,332354.35336,61768.625707,1,12.315980877450643,Low Risk
54,0,1168154.1476,402561.0434,1,7.548007041480501,Low Risk
54,0,1169189.7453,402561.0434,1,7.548007041480501,Low Risk
54,0,1168154.1476,402561.0434,1,7.548007041480501,Low Risk
54,0,1169189.7453,403626.01971,1,7.557035123356075,Low Risk
54,0,1169189.7453,402561.0434,1,7.548007041480501,Low Risk
36,2,284944.69301,133122.03816,1,26.194985768825426,Moderate Risk
36,2,287015.88831,134187.01447,1,26.35104396237661,Moderate Risk
36,2,284944.69301,133122.03816,1,26.163546989482327,Moderate Risk
36,2,285980.29066,133122.03816,1,26.125246952500746,Moderate Risk
36,2,285980.29066,133122.03816,1,26.30756492277197,Moderate Risk
59,1,8957919.6604,1480317.0644,1,2.7751317537301903,Very Low Risk
59,1,8957919.6604,1480317.0644,1,2.774162901586108,Very Low Risk
59,1,8957919.6604,1480317.0644,1,2.774162901586108,Very Low Risk
59,1,8947563.6839,1469667.3013,1,2.767395670017584,Very Low Risk
59,1,8968275.6368,1480317.0644,1,2.772966457722834,Very Low Risk
55,0,799584.94448,75613.317676,1,2.0778964531451374,Very Low Risk
55,0,799584.94448,74548.341371,1,2.2685633133488508,Very Low Risk
55,0,799584.94448,74548.341371,1,2.1345877777201645,Very Low Risk
49,0,596814.92489,173591.13776,2,10.30083447861778,Low Risk
49,0,670445.9177,134187.01447,2,9.1107348649876,Low Risk
61,0,13322963.749,1384469.1969,1,1.8714577994799304,Very Low Risk
61,0,12070926.192,1384469.1969,1,1.871406236081322,Very Low Risk
61,0,12598045.395,1384469.1969,1,1.8708914393038576,Very Low Risk
61,0,13884257.675,1384469.1969,1,1.8714577994799304,Very Low Risk
61,0,13896684.847,1384469.1969,1,1.871148647563625,Very Low Risk
52,0,898277.40039,101172.749,1,5.239746061517876,Very Low Risk
52,0,938665.70869,101172.749,1,5.23546357775324,Very Low Risk
52,0,812012.11626,101172.749,1,5.243832618982319,Very Low Risk
52,0,762303.42913,101172.749,1,5.24378037513891,Very Low Risk
52,0,829203.03723,101172.749,1,5.243761381667769,Very Low Risk
40,2,122511.20183,91587.962255,1,31.79695661164148,Moderate Risk
40,2,121061.36512,91587.962255,1,27.28901036782583,Moderate Risk
40,2,103870.44415,86263.080729,1,23.91086940507356,Moderate Risk
40,2,104181.12345,87328.057034,1,23.376537694693425,Moderate Risk
40,2,124893.07642,93717.914866,1,25.509215381130723,Moderate Risk
72,0,62625696.604,2037299.672,2,0.4552577784894796,Very Low Risk
72,0,14296425.539,1723131.662,2,0.5385267310042687,Very Low Risk
72,0,12401281.842,1878618.2025,2,0.4907693403906253,Very Low Risk
64,0,32972393.534,3801965.4099,1,1.5517095747432914,Very Low Risk
64,0,30396862.182,3801965.4099,1,1.5517095747432914,Very Low Risk
64,0,33265467.668,3801965.4099,1,1.5517095747432914,Very Low Risk
64,0,30800745.265,3801965.4099,1,1.5506966160177784,Very Low Risk
64,0,32619254.735,3801965.4099,1,1.5517095747432914,Very Low Risk
48,0,337294.15415,99042.796392,1,17.991134084272268,Moderate Risk
48,0,320621.03201,99042.796392,1,16.917601248078117,Moderate Risk
48,0,434536.77335,99042.796392,1,10.048205690432352,Low Risk
42,3,42065.976486,79873.222897,1,21.822744286426364,Moderate Risk
42,3,41631.025474,79873.222897,1,21.39353576275495,Moderate Risk
46,2,192983.62182,53248.815265,1,17.901508915446534,Moderate Risk
46,2,191854.82038,53248.815265,1,17.97178684076692,Moderate Risk
46,2,192942.19791,53248.815265,1,17.968207944131564,Moderate Risk
46,2,194930.5454,53248.815265,1,17.973935699052404,Moderate Risk
46,2,192010.16003,53248.815265,1,17.96105963766084,Moderate Risk
59,0,15280243.305,321622.8442,2,1.24514976871948,Very Low Risk
59,0,15187039.517,321622.8442,2,1.24514976871948,Very Low Risk
59,0,15530857.936,320557.86789,2,1.243859920552454,Very Low Risk
59,0,15186003.919,320557.86789,2,1.243859920552454,Very Low Risk
59,0,15151829.197,321622.8442,2,1.24514976871948,Very Low Risk
59,1,2051518.9419,110757.53575,1,1.971441960962072,Very Low Risk
59,1,2050483.3442,110757.53575,1,1.971441960962072,Very Low Risk
57,0,20619784.781,533553.12895,1,1.0664727176329114,Very Low Risk
57,0,20629105.16,532488.15265,1,1.0659089061158789,Very Low Risk
57,0,20631176.355,532488.15265,1,1.065905920531216,Very Low Risk
57,0,20631176.355,532488.15265,1,1.065905920531216,Very Low Risk
57,0,20631176.355,532488.15265,1,1.065905920531216,Very Low Risk
67,0,14920890.921,1064976.3053,1,0.7911171342979357,Very Low Risk
67,0,14993382.756,1064976.3053,1,0.7899612173563229,Very Low Risk
67,0,14919855.323,1064976.3053,1,0.7911171342979357,Very Low Risk
67,0,14754159.7,1064976.3053,1,0.7938258200289702,Very Low Risk
67,0,15117654.474,1064976.3053,1,0.7880193893834073,Very Low Risk
52,0,11011509.798,822161.70769,1,5.746768402473405,Very Low Risk
52,0,11000118.223,822161.70769,1,5.746768402473405,Very Low Risk
52,0,11011509.798,822161.70769,1,5.746768402473405,Very Low Risk
52,0,10990797.845,822161.70769,1,5.746768402473405,Very Low Risk
52,0,11023936.969,822161.70769,1,5.746768402473405,Very Low Risk
85,0,70291190.398,4323803.7995,2,0.4781906341930517,Very Low Risk
85,0,51821306.336,4164057.3537,2,0.4680765838134784,Very Low Risk
85,0,69119929.458,4281204.7473,2,0.4753471263803775,Very Low Risk
85,0,86608066.95,4206656.4059,2,0.4559073604203204,Very Low Risk
85,0,64121099.608,4206656.4059,2,0.4685141920342406,Very Low Risk
67,0,3496177.6617,191695.73495,1,0.8774214963378435,Very Low Risk
67,0,3268346.179,203410.47431,1,0.8326675442517169,Very Low Risk
67,0,3755077.0738,211930.28475,1,0.8195609370920565,Very Low Risk
54,1,1219623.3508,153356.58796,1,15.776085651364088,Low Risk
54,1,1220141.1496,151226.63535,1,15.641248289931085,Low Risk
54,1,1220451.8289,153356.58796,1,15.687586461628,Low Risk
54,1,1219209.1117,154421.56427,1,15.791469794337518,Low Risk
54,1,1219001.9922,154421.56427,1,15.857642371727144,Low Risk
42,0,300426.87786,124602.22772,1,18.24284353711372,Moderate Risk
42,0,299598.39974,124602.22772,1,18.24284353711372,Moderate Risk
42,0,301669.59504,124602.22772,1,18.24284353711372,Moderate Risk
42,0,303533.6708,124602.22772,1,18.24284353711372,Moderate Risk
42,0,301876.71457,124602.22772,1,18.24284353711372,Moderate Risk
39,3,72361350.098,6262060.6751,1,8.267562138082297,Low Risk
39,3,72239149.575,6325959.2534,1,8.559033392133188,Low Risk
57,0,2241240.4311,271568.95785,1,2.9315452404627087,Very Low Risk
57,0,2258120.6728,272633.93416,1,2.9368117235806634,Very Low Risk
57,0,2292606.0745,271568.95785,1,2.9315452404627087,Very Low Risk
57,0,2286703.1679,271568.95785,1,2.9315452404627087,Very Low Risk
57,0,2246211.2998,271568.95785,1,2.9315452404627087,Very Low Risk
80,0,8708651.3063,1118225.1206,2,0.4601969999999495,Very Low Risk
80,0,8708547.7466,1118225.1206,2,0.4601879999999374,Very Low Risk
80,0,8708651.3063,1118225.1206,2,0.4601969999999495,Very Low Risk
80,0,8709686.904,1118225.1206,2,0.4601969999999495,Very Low Risk
80,0,8708651.3063,1118225.1206,2,0.4601969999999495,Very Low Risk
44,1,244401.04507,108627.58314,1,21.27937565919961,Moderate Risk
44,1,246472.24037,108627.58314,1,20.94512770269305,Moderate Risk
56,0,2986249.3795,415340.75906,2,3.417855234501072,Very Low Risk
56,0,1832593.599,342922.3703,2,3.798045220801471,Very Low Risk
56,0,2403207.9033,374871.65946,2,3.7578825973176304,Very Low Risk
45,2,188996.57087,127797.15664,1,26.573970541830093,Moderate Risk
45,2,210744.12149,127797.15664,1,26.573970541830093,Moderate Risk
45,2,206601.73089,127797.15664,1,26.573970541830093,Moderate Risk
45,2,185889.77792,127797.15664,1,26.573970541830093,Moderate Risk
45,2,195210.15676,127797.15664,1,26.573970541830093,Moderate Risk
50,3,687947.51796,263049.14741,1,15.816248048996904,Low Risk
50,3,688983.11561,263049.14741,1,15.816248048996904,Low Risk
50,3,687843.9582,263049.14741,1,15.8134288291964,Low Risk
50,3,687843.9582,263049.14741,1,15.817658558886658,Low Risk
50,3,690018.71326,263049.14741,1,15.8134288291964,Low Risk
58,0,2780579.6865,112887.48836,1,1.2212375889468956,Very Low Risk
58,0,2755725.3429,111822.51206,1,1.2171467908127227,Very Low Risk
58,0,2760903.3312,116082.41728,1,1.2387836097445792,Very Low Risk
58,0,2772294.9053,111822.51206,1,1.2171467908127227,Very Low Risk
58,0,2773330.5029,116082.41728,1,1.2335111068297753,Very Low Risk
65,0,539857.05421,56443.744181,1,1.0994319800085168,Very Low Risk
65,0,548556.07446,35144.218075,1,0.9909634202902124,Very Low Risk
65,0,539028.57609,58573.696791,1,1.10423398557442,Very Low Risk
65,0,1155830.5356,46858.957433,1,1.0438396218075812,Very Low Risk
27,1,129967.5049,69223.459844,1,38.87265127435617,High Risk
27,1,136698.88961,69223.459844,1,38.87265127435617,High Risk
27,1,133074.29784,69223.459844,1,39.23768994133559,High Risk
27,1,140841.28021,69223.459844,1,39.60272863647521,High Risk
27,1,134109.89549,69223.459844,1,39.23768994133559,High Risk
37,0,199766.78641,59638.673096,1,23.529363600273864,Moderate Risk
37,0,194588.79817,59638.673096,1,23.555173930551348,Moderate Risk
56,0,108012.83475,155486.54057,1,6.5197794344956925,Very Low Risk
56,0,106977.2371,155486.54057,1,6.5197794344956925,Very Low Risk
56,0,109048.4324,155486.54057,1,6.5197794344956925,Very Low Risk
56,0,101799.24886,156551.51688,1,6.538586089540481,Very Low Risk
56,0,105527.40039,155486.54057,1,6.5197794344956925,Very Low Risk
57,1,388659.79752,99042.796392,2,7.120998817571474,Low Risk
57,1,387002.84128,90522.98595,2,6.7755542205511965,Very Low Risk
57,1,388556.23775,95847.867476,2,6.958593602215632,Very Low Risk
57,1,389695.39517,87328.057034,2,6.665731838398253,Very Low Risk
57,1,388349.11822,85198.104423,2,6.645097988378844,Very Low Risk
59,0,779390.79033,100107.7727,1,3.0006807000298306,Very Low Risk
