M-YY,Non-mortgage loans,Chartered banks,Personal loans,Of which: Auto loans,Credit cards,Lines of credit,"Lines of credit, of which: excluding home equity lines of credit",Other personal loans,Unincorporated business,Non-banks,Government,Non-bank financial corporations,Credit unions and caisse populaires,Trust companies and mortgage loan companies,Financial vehicle corporations engaged in securitization,Other financial corporations n.e.i.,Other lenders n.e.i.,Mortgage loans,Residential mortgages,Chartered banks,Non-banks,Government,Non-bank financial corporations,Credit unions and caisse populaires,Trust companies and mortgage loan companies,Financial vehicle corporations engaged in securitization,Of which: off balance-sheet NHA-MBS,Other financial corporations n.e.i.,Other lenders n.e.i.,Non-residential mortgages,Chartered banks,Non-banks,Government,Non-bank financial corporations,Credit unions and caisse populaires,Trust companies and mortgage loan companies,Financial vehicle corporations engaged in securitization,Other financial corporations n.e.i.,Other lenders n.e.i.,Total credit liabilities of households,Of which: real estate secured lending,Residential mortgages,Chartered banks,Non-banks,Non-residential mortgages,Chartered banks,Non-banks,Home equity lines of credit,Chartered banks,Non-banks
Jan-00,"222,880","121,887","36,462",0,"13,601","29,445","6,657","25,938","16,441","100,993",68,"98,503","25,138","16,195","23,418","33,752","2,422","402,774","399,052","234,190","164,862",231,"159,715","52,048","15,499","47,439","26,097","44,729","4,916","3,722",769,"2,953",110,"2,415",443,8,117,"1,847",428,"625,654","425,562","399,052","234,190","164,862","3,722",769,"2,953","22,788","22,788",0
Feb-00,"232,702","136,300","39,360",0,"14,711","37,594","8,212","26,989","17,646","96,402",67,"93,917","25,909","4,927","28,665","34,416","2,418","412,284","408,445","246,577","161,868",217,"156,510","52,276","10,501","49,067","26,421","44,666","5,141","3,839",863,"2,976",110,"2,428",445,6,116,"1,861",438,"644,986","441,666","408,445","246,577","161,868","3,839",863,"2,976","29,382","29,382",0
Mar-00,"229,263","134,001","40,449",0,"15,017","34,791","7,327","27,146","16,598","95,262",66,"92,781","26,006",685,"30,963","35,127","2,415","411,207","407,303","248,502","158,801",226,"153,193","52,542","5,479","50,572","26,519","44,600","5,382","3,904",905,"2,999",112,"2,439",446,4,114,"1,875",448,"640,470","438,671","407,303","248,502","158,801","3,904",905,"2,999","27,464","27,464",0
Apr-00,"229,443","132,899","40,546",0,"15,970","33,221","7,022","26,612","16,550","96,544",65,"94,070","26,076",585,"32,365","35,044","2,409","413,463","409,548","251,025","158,523",233,"152,980","52,705","5,357","50,182","26,821","44,736","5,310","3,915",905,"3,010",115,"2,447",444,4,119,"1,880",448,"642,906","439,662","409,548","251,025","158,523","3,915",905,"3,010","26,199","26,199",0
May-00,"231,430","134,529","40,163",0,"16,725","33,826","7,177","26,976","16,839","96,901",65,"94,432","26,241",581,"32,652","34,958","2,404","414,097","410,170","252,926","157,244",238,"151,771","52,963","5,161","48,771","26,552","44,876","5,235","3,927",907,"3,020",118,"2,455",441,3,127,"1,884",447,"645,527","440,746","410,170","252,926","157,244","3,927",907,"3,020","26,649","26,649",0
Jun-00,"233,154","135,892","40,055",0,"17,430","34,441","7,335","26,868","17,098","97,262",64,"94,800","26,193",578,"33,154","34,875","2,398","415,805","411,848","255,371","156,477",244,"151,070","53,487","4,924","47,647","26,424","45,012","5,163","3,957",908,"3,049",121,"2,481",454,3,135,"1,889",447,"648,959","442,911","411,848","255,371","156,477","3,957",908,"3,049","27,106","27,106",0
Jul-00,"235,569","137,228","40,457",0,"17,628","35,501","7,835","26,689","16,953","98,341",63,"95,887","26,374",550,"33,476","35,487","2,391","416,911","412,939","254,016","158,923",245,"153,469","53,711","4,676","50,196","28,826","44,886","5,209","3,972",911,"3,061",122,"2,489",455,3,139,"1,892",450,"652,480","444,577","412,939","254,016","158,923","3,972",911,"3,061","27,666","27,666",0
Aug-00,"238,265","139,200","40,794",0,"18,041","36,579","8,350","26,905","16,881","99,065",63,"96,618","26,655",567,"33,297","36,099","2,384","418,002","414,025","252,226","161,799",246,"156,298","54,030","4,623","52,885","31,403","44,760","5,255","3,977",913,"3,064",123,"2,488",455,3,136,"1,894",453,"656,267","446,231","414,025","252,226","161,799","3,977",913,"3,064","28,229","28,229",0
Sep-00,"241,860","142,308","40,950",0,"19,333","37,834","8,918","27,252","16,939","99,552",62,"97,113","26,722",581,"33,119","36,691","2,377","419,968","415,979","253,313","162,666",247,"157,119","54,354","4,489","53,638","32,832","44,638","5,300","3,989",916,"3,073",123,"2,494",456,3,138,"1,897",456,"661,828","448,884","415,979","253,313","162,666","3,989",916,"3,073","28,916","28,916",0
Oct-00,"243,941","143,683","40,910",0,"19,526","38,780","9,200","27,458","17,009","100,258",582,"97,304","26,934",602,"33,321","36,447","2,372","421,281","417,259","253,732","163,527",247,"157,994","54,511","4,558","54,220","33,424","44,705","5,286","4,022",917,"3,105",123,"2,525",472,3,153,"1,897",457,"665,222","450,861","417,259","253,732","163,527","4,022",917,"3,105","29,580","29,580",0
