"REF_DATE","GEO","DGUID","Assets and debts","Age group","Economic family type","Statistics","Confidence intervals","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005","Canada","2016A000011124","Total assets","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80526103","1.1.1.1.1.1","7146577","","","","0"
"2012","Canada","2016A000011124","Total assets","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80526103","1.1.1.1.1.1","10516428","","","","0"
"2016","Canada","2016A000011124","Total assets","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80526103","1.1.1.1.1.1","12739498","","","","0"
"2005","Canada","2016A000011124","Private pension assets","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80526229","1.2.1.1.1.1","2074183","","","","0"
"2012","Canada","2016A000011124","Private pension assets","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80526229","1.2.1.1.1.1","3162201","","","","0"
"2016","Canada","2016A000011124","Private pension assets","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80526229","1.2.1.1.1.1","3723304","","","","0"
"2005","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80526355","1.3.1.1.1.1","753985","","","","0"
"2012","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80526355","1.3.1.1.1.1","1071205","","","","0"
"2016","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80526355","1.3.1.1.1.1","1268317","","","","0"
"2005","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80526481","1.4.1.1.1.1","1320198","","","","0"
"2012","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80526481","1.4.1.1.1.1","2090996","","","","0"
"2016","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80526481","1.4.1.1.1.1","2454987","","","","0"
"2005","Canada","2016A000011124","Financial assets, non pension","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80526607","1.5.1.1.1.1","743028","","","","0"
"2012","Canada","2016A000011124","Financial assets, non pension","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80526607","1.5.1.1.1.1","1170263","","","","0"
"2016","Canada","2016A000011124","Financial assets, non pension","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80526607","1.5.1.1.1.1","1455576","","","","0"
"2005","Canada","2016A000011124","Deposits in financial institutions","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80526733","1.6.1.1.1.1","301647","","","","0"
"2012","Canada","2016A000011124","Deposits in financial institutions","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80526733","1.6.1.1.1.1","384402","","","","0"
"2016","Canada","2016A000011124","Deposits in financial institutions","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80526733","1.6.1.1.1.1","425222","","","","0"
"2005","Canada","2016A000011124","Mutual funds, investment funds and income trusts","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80526859","1.7.1.1.1.1","170004","","","","0"
"2012","Canada","2016A000011124","Mutual funds, investment funds and income trusts","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80526859","1.7.1.1.1.1","267606","","","","0"
"2016","Canada","2016A000011124","Mutual funds, investment funds and income trusts","All ages","Economic families and persons not in an economic family","Total values","Estimate","2019 constant dollars","404","millions","6","v80526859","1.7.1.1.1.1","315025","","","","0"
