age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
48,technician,married,professional.course,yes,no,no,cellular,aug,tue,66,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
42,admin.,married,high.school,no,no,no,cellular,nov,mon,651,2,999,1,failure,-0.1,93.2,-42,4.191,5195.8,yes
71,admin.,married,basic.4y,no,yes,yes,cellular,may,fri,466,4,3,2,success,-1.8,93.876,-40,0.684,5008.7,yes
39,blue-collar,married,basic.9y,no,yes,no,telephone,oct,fri,112,1,999,0,nonexistent,-0.1,93.798,-40.4,4.918,5195.8,yes
67,retired,married,professional.course,no,no,no,telephone,oct,mon,270,2,999,0,nonexistent,-3.4,92.431,-26.9,0.739,5017.5,no
33,admin.,married,university.degree,no,yes,no,cellular,may,mon,740,1,3,2,success,-1.8,93.876,-40,0.685,5008.7,yes
40,management,married,university.degree,no,yes,no,cellular,jun,mon,295,3,999,0,nonexistent,-2.9,92.963,-40.8,1.215,5076.2,yes
28,blue-collar,single,high.school,no,yes,yes,cellular,apr,thu,268,1,999,0,nonexistent,-1.8,93.075,-47.1,1.483,5099.1,yes
51,blue-collar,single,basic.4y,unknown,yes,no,telephone,jul,wed,70,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
31,services,married,high.school,unknown,yes,no,telephone,jun,tue,170,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
47,management,married,university.degree,no,no,no,cellular,jun,mon,210,1,999,0,nonexistent,-2.9,92.963,-40.8,1.266,5076.2,no
36,technician,single,high.school,no,yes,no,cellular,may,thu,208,1,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,no
35,admin.,married,high.school,unknown,no,no,cellular,jul,fri,114,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
40,technician,single,university.degree,no,yes,no,cellular,aug,fri,117,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
39,admin.,single,university.degree,no,yes,no,cellular,apr,mon,72,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
30,technician,married,university.degree,no,yes,no,cellular,dec,thu,244,2,6,1,success,-3,92.713,-33,0.72,5023.5,yes
28,admin.,single,university.degree,no,no,no,cellular,aug,wed,153,1,999,0,nonexistent,-2.9,92.201,-31.4,0.879,5076.2,no
29,entrepreneur,married,university.degree,no,yes,yes,cellular,nov,thu,265,3,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
44,admin.,married,basic.9y,unknown,yes,yes,cellular,aug,thu,452,6,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,yes
25,self-employed,single,university.degree,no,yes,no,cellular,jun,fri,382,5,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,no
30,management,single,university.degree,no,yes,no,cellular,jul,mon,96,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
31,blue-collar,single,high.school,no,yes,no,cellular,nov,wed,522,1,6,1,success,-0.1,93.2,-42,4.12,5195.8,yes
27,blue-collar,single,university.degree,no,yes,no,cellular,apr,thu,246,2,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
62,retired,married,high.school,no,no,no,cellular,oct,wed,207,1,6,1,success,-3.4,92.431,-26.9,0.724,5017.5,yes
29,blue-collar,married,professional.course,no,yes,no,telephone,may,wed,749,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
35,admin.,single,university.degree,no,yes,no,cellular,aug,fri,299,4,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
48,blue-collar,married,basic.9y,no,yes,no,cellular,aug,tue,100,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
36,admin.,married,high.school,no,no,no,cellular,sep,thu,543,1,999,0,nonexistent,-3.4,92.379,-29.8,0.766,5017.5,yes
34,admin.,single,professional.course,no,no,no,telephone,apr,thu,130,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,no
55,admin.,married,high.school,no,yes,no,cellular,apr,wed,140,3,999,1,failure,-1.8,93.075,-47.1,1.415,5099.1,no
35,blue-collar,married,high.school,no,yes,no,cellular,jul,mon,105,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
31,technician,single,high.school,no,no,no,cellular,aug,wed,1033,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,yes
51,entrepreneur,married,professional.course,unknown,no,no,cellular,may,mon,295,1,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,no
34,entrepreneur,married,university.degree,unknown,yes,no,cellular,nov,mon,2462,2,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,yes
59,blue-collar,married,basic.9y,no,no,no,cellular,may,tue,690,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,yes
39,blue-collar,married,basic.9y,no,yes,no,cellular,nov,tue,741,4,999,1,failure,-0.1,93.2,-42,4.153,5195.8,yes
24,services,single,basic.9y,no,yes,no,telephone,jul,wed,108,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
68,retired,married,university.degree,no,no,no,cellular,mar,wed,201,1,999,0,nonexistent,-1.8,92.843,-50,1.602,5099.1,yes
35,admin.,married,university.degree,no,no,no,cellular,jul,wed,695,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes
39,admin.,single,unknown,no,no,yes,telephone,jun,mon,152,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
26,admin.,single,high.school,no,yes,no,cellular,jul,fri,251,1,999,1,failure,-1.7,94.215,-40.3,0.885,4991.6,yes
28,admin.,single,university.degree,no,yes,no,telephone,jun,wed,249,5,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
27,student,married,high.school,no,yes,no,telephone,may,wed,54,1,999,0,nonexistent,-1.8,93.876,-40,0.672,5008.7,no
29,admin.,single,university.degree,unknown,no,no,cellular,aug,fri,521,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
47,admin.,married,basic.9y,no,yes,no,telephone,nov,fri,64,3,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no
48,technician,married,university.degree,no,no,no,cellular,aug,fri,232,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
25,unemployed,married,high.school,unknown,no,no,cellular,jul,fri,120,10,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
35,admin.,single,high.school,no,no,yes,telephone,may,fri,813,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,yes
32,management,single,university.degree,no,no,yes,cellular,mar,thu,167,1,999,0,nonexistent,-1.8,92.843,-50,1.584,5099.1,yes
66,retired,married,unknown,no,yes,no,cellular,sep,tue,1394,2,6,1,success,-1.1,94.199,-37.5,0.881,4963.6,yes
44,blue-collar,married,basic.6y,unknown,no,no,cellular,jul,thu,168,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
42,admin.,married,university.degree,no,no,no,cellular,jun,thu,160,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
31,management,married,high.school,no,yes,no,cellular,may,tue,78,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,no
46,admin.,married,high.school,no,no,no,telephone,may,fri,515,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no
36,admin.,married,university.degree,unknown,yes,no,cellular,aug,tue,181,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
